distance_m,distance_earth_radii,earth_solid_angle_sr,earth_ir_flux_w_m2,earth_albedo_flux_w_m2,extra_heat_ir_only_w,extra_heat_ir_plus_albedo_w,temperature_ir_only_k,temperature_ir_plus_albedo_k
6689550.0,1.05,4.367375015337511,216.78004535147392,185.17006802721087,21.678004535147394,23.5297052154195,442.1833096245513,451.3376944186995
6792270.921063384,1.0661232021760139,4.104836013141479,210.27280629736526,179.61168788956954,21.027280629736527,22.823397508632226,438.8269708600831,447.91186926576836
6896569.1661058115,1.0824939830647955,3.8773971009052524,203.96089961362705,174.22015755699564,20.396089961362705,22.138291536932662,435.4961084141796,444.5120478420487
7002468.955616275,1.0991161443441022,3.6756709073841147,197.83846187114457,168.99046858156555,19.78384618711446,21.47375087293011,432.190528918712,441.13803277569514
7109994.881999747,1.1159935460680814,3.493904313838785,191.89980564748137,163.9177628574616,19.189980564748137,20.82915819332275,428.91004047347224,437.78962819316297
7219171.915288228,1.1331301075636835,3.3282573055194553,186.1394142435562,158.9973281080418,18.61394142435562,20.203914705436038,425.6544526350319,434.46663970783516
7330025.408939253,1.1505298083408024,3.176008396483531,180.55193655892637,154.22459350838835,18.055193655892637,19.59743959097652,422.4235764056917,431.1688744087436
7442581.105723677,1.1681966890164304,3.035140909571909,175.13218212089083,149.59512543924632,17.513218212089082,19.009169466481545,419.21722422250906,427.89614084936863
7556865.1437036265,1.186134852252963,2.9041080229186162,169.87511626282046,145.1046233684301,16.987511626282046,18.438557859966348,416.0352099464153,424.64824903653147
7672904.062302488,1.204348463710954,2.7816902439608073,164.77585544721168,140.7489158558505,16.47758554472117,17.885074703279674,412.87734885140907,421.42501041936265
7790724.808467862,1.2228417530164593,2.6669043419496723,159.82966272914283,136.52395667847074,15.982966272914283,17.34820583969899,409.74345761383813,418.2262378783626
7910354.742929399,1.241619014743274,2.558942661067157,155.03194335589595,132.4258210715739,15.503194335589596,16.82745254630533,406.6333543017566,415.0517457145375
8031821.646552468,1.260684609410213,2.4571312475700413,150.3782404986793,128.4507020828677,15.03782404986793,16.32233107069661,403.5468583643693,411.9013496386255
8155153.726789657,1.280042964493746,2.360900099924663,145.86423111246216,124.59490703602155,14.586423111246217,15.83237218160643,400.48379062155,408.77486676039683
8280379.62423107,1.2996985754561403,2.2697614970636146,141.48572192009857,120.85485410036873,14.148572192009858,15.357120733013543,397.44397325344534,405.6721155780431
8407528.419255473,1.3196560067894323,2.183293866497525,137.23864551698927,117.22706896357053,13.723864551698927,14.896135241334633,394.4272297901521,402.59291596763984
8536629.638783317,1.339919893075391,2.1011295474710043,133.11905659268032,113.70818160416606,13.311905659268033,14.448987475309693,391.43338510147834,399.5370891726957
8667713.263133638,1.3604949400617858,2.022945353136412,129.12312826587603,110.29492316099831,12.912312826587604,14.015262058197585,388.4622653867785,396.50445779377685
8800809.732986227,1.3813859257551762,1.948455183281435,125.24714852946589,106.98412289661282,12.52471485294659,13.59455608191272,385.51369816486607,393.4948457782103
8935949.956450557,1.4025977015304594,1.877404165280451,121.48751680226907,103.77270525181268,12.148751680226908,13.186478732745035,382.5875122640067,390.50807840986926
9073165.316243503,1.4241351932574955,1.8095639516289375,117.84074058427976,100.65768698862223,11.784074058427976,12.790650928314198,379.6835378119812,387.54398229903086
9212487.676977,1.446003402444985,1.7447289050045596,114.30343221232262,97.63617441901951,11.430343221232263,12.406704965422456,376.80160622623094,384.6023853723163
9353949.39255789,1.4682074074019604,1.6827129729875974,110.8723057130882,94.70536071684919,11.08723057130882,12.03428417847731,373.9415502040719,381.6831168627025
9497583.31370112,1.4907523644170646,1.6233471048426753,107.54417375064014,91.86252331043174,10.754417375064016,11.67304260816833,371.10320371298855,378.78600729961437
9643422.795558585,1.5136435089559857,1.5664770988238923,104.31594466554432,89.10502135343462,10.431594466554433,11.322644680088779,368.28640198099623,375.91088849908755
9791501.705464821,1.5368861568772283,1.5119617947098045,101.18461960288373,86.43029327166826,10.118461960288373,10.982764893005058,365.4909814870829,373.0575935540116
9941854.430801958,1.5604857056666077,1.4596715456275626,98.1472897264762,83.83585438351514,9.814728972647622,10.65308751648277,362.7167799517167,370.2259568244409
10094515.886985097,1.5844476356906447,1.409486917672585,95.20113351672241,81.31929459179447,9.520113351672242,10.333306297590186,359.963636327433,367.4158139279863
10249521.525570663,1.608777511469261,1.361297576735055,92.34341414955921,78.87827614490591,9.23434141495592,10.02312417640498,357.2313907894859,364.62700173027247
10406907.342488907,1.6334809829679653,1.3150013302633305,89.57147695409736,76.510531465184,8.957147695409736,9.722253010061577,354.5198847265773,361.8593583354752
10566709.886403184,1.6585637869099332,1.2705032981003417,86.88274694656889,74.2138610424353,8.688274694656888,9.430413305081242,351.828960731651,359.1127230769237
10728966.267197244,1.6840317481081846,1.227715191508066,84.27472643830531,71.98613139071142,8.427472643830532,9.147333957737645,349.15846259276157,356.3869365077806
10893714.16459308,1.7098907808182515,1.186554683396341,81.74499271551522,69.82527306641185,8.174499271551523,8.872752002215641,346.50823528400923,353.6818403917885
11060991.836901117,1.7361468901116177,1.1469448558541093,79.29119578870963,67.72927874587896,7.929119578870964,8.606412366329753,343.87812495654447,350.9972776940877
11230838.129904518,1.7628061732702116,1.1088137135332061,76.91105620968777,65.69620136070192,7.691105620968777,8.348067634575798,341.26797892964356,348.33309257210686
11403292.485880265,1.7898748212023645,1.0720937533991663,74.60236295404711,63.72415228899045,7.4602362954047114,8.097477818294616,338.6776456818477,345.6891303665177
11578394.9527584,1.8173591198804584,1.0367215829481908,72.36297136726056,61.81129960094662,7.236297136726056,7.854410132735522,336.1069748421743,343.0652375922645
11756186.193422265,1.8452654518007008,1.0026375802746532,70.19080117240284,59.95586635709641,7.019080117240285,7.6186387808112475,333.5558171813904,340.46126192965585
11936707.495151203,1.873600297465265,0.9697855904230788,68.083834537685,58.15612895760834,6.808383453768499,7.389944743344583,331.02402460335765,337.87705221552983
12120000.779208593,1.902370236887238,0.9381126533193257,66.04011420199278,56.410415541158265,6.604011420199278,7.1681155756108605,328.5114501364377,335.31245843448136
12306108.610576782,1.9315819511186285,0.9075687592862489,64.05774165669602,54.7171044318598,6.405774165669603,6.952945209988201,326.0179479249683,332.7673317101613
12495074.207841842,1.96124222380189,0.8781066287378169,62.13487538203216,53.074622632811156,6.213487538203217,6.7442337645313275,323.5433732207998,330.24152429663644
12686941.453229748,1.9913579427452124,0.8496815131363686,60.26972913643318,51.48144436486541,6.026972913643318,6.541787357291973,321.0875823749,327.734889569821
12881754.902797056,2.021936101522062,0.8222510147078939,58.46057029719926,49.936089649260374,5.846057029719926,6.34541792621253,318.65043282901894,325.2472820189674
13079559.79677765,2.0529838010952206,0.795774922755271,56.70571825098551,48.43712293279788,5.670571825098552,6.15494305442653,316.2317831074218,322.778557238228
13280402.0700888,2.0845082514658295,0.7702150647001127,55.00354283259853,46.983151754288656,5.500354283259853,5.9701858008027395,313.8314928086797,320.32857191827503
