distance_m,distance_earth_radii,earth_solid_angle_sr,earth_hemisphere_fraction,earth_ir_irradiance_w_m2,temperature_equal_area_kirchhoff_k,temperature_sphere_like_k,temperature_mismatch_stress_k
6434710.0,1.01,5.401209803002057,0.8596292388241797,205.451388078979,245.34337531710747,173.4839644059229,436.2890727158639
6509245.922082337,1.021699250052164,4.995121340863407,0.7949982527422275,190.0045824053924,240.5958237571671,170.1269385038563,427.84659952872374
6584645.224749147,1.0335340173833223,4.695649219559694,0.747335784318526,178.61325245212774,236.90568662687605,167.51761751551925,421.28450464970706
6660917.908896793,1.0455058717464751,4.449657602259592,0.7081850024660448,169.2562155893847,233.74009832879705,165.2792085635028,415.65520415857304
6738074.091266214,1.0576164010777294,4.237650087942305,0.674442958589823,161.1918671029677,230.90473952738643,163.27430712792838,410.61314398195185
6816124.005784755,1.0698672117069148,4.0498293942481505,0.6445503667734493,154.04753765885442,228.30254670237426,161.4342789354073,405.9857180602817
6895078.004923608,1.0822599285706496,3.880427901577639,0.6175892818477919,147.60383836162228,225.87672312984742,159.7189626373114,401.6719259488702
6974946.561070907,1.0947961954278618,3.7257012747356573,0.5929637743579554,141.71834207155138,223.59062070669947,158.1024441114165,397.6065970805461
7055740.267920852,1.1074776750778295,3.583050103595732,0.5702601353331884,136.29217234463204,221.418953738584,156.5668436717832,393.7447664256847
7137469.84187881,1.1203060495807267,3.4505791383094855,0.5491767263917274,131.25323760762288,219.34340048847653,155.09920589391842,390.0538528165792
7220146.123482686,1.133283020480723,3.326853759565766,0.5294852207787476,126.54696776612069,217.35017874345087,153.68978528160233,386.50934762775825
7303780.078840883,1.146410309031688,3.210755378007012,0.511007589468703,122.13081388302002,215.4286096928684,152.33103077541725,383.0922609501394
7388382.801086793,1.1596896564254893,3.101390621300615,0.4936016478388373,117.97079383348213,213.57021816745402,151.01694952569713,379.78752156470415
7473965.51185019,1.1731228240229463,2.9980316748639977,0.4771515606006792,114.03922298356234,211.76814296907315,149.74268993271392,376.58292834408167
